basket_items,total_sales,distinct_products,online_purchases,in_store_purchases,avg_purchase_value,avg_discount_used,promo_used,promo_response_rate,total_transactions,customer_order_count,days_since_prev_purchase,customer_mean_gap,customer_tenure_days,avg_ticket_size,avg_item_value,discount_impact,distinct_categories,purchase_frequency,items_per_order
10,45.0,1,1,0,45.0,0.0,0.0,0.0,1,1,0.0,0.0,0,45.0,4.5,0.0,0.0,1.0,10.0
5,22.5,1,2,0,22.5,0.0,0.0,0.0,1,2,0.0,0.0,0,33.75,4.5,0.0,0.0,2.0,5.0
5,22.5,1,3,0,22.5,0.0,0.0,0.0,1,3,0.0,0.0,0,30.0,4.5,0.0,0.0,3.0,5.0
5,22.5,1,4,0,22.5,0.0,0.0,0.0,1,4,3.0,3.0,4,28.125,4.5,0.0,0.0,0.8,5.0
1,1.0,1,5,0,1.0,0.0,0.0,0.0,1,5,0.0,3.0,4,22.7,1.0,0.0,0.0,1.0,1.0
5,22.5,1,6,0,22.5,0.0,0.0,0.0,1,6,16.0,9.5,21,22.666666666666668,4.5,0.0,0.0,0.2727272727272727,5.0
5,22.5,1,7,0,22.5,0.0,0.0,0.0,1,7,0.0,9.5,21,22.642857142857142,4.5,0.0,0.0,0.3181818181818182,5.0
5,22.5,1,8,0,22.5,0.0,0.0,0.0,1,8,10.0,9.666666666666666,31,22.625,4.5,0.0,0.0,0.25,5.0
5,22.5,1,9,0,22.5,0.0,0.0,0.0,1,9,7.0,9.0,39,22.61111111111111,4.5,0.0,0.0,0.225,5.0
1,-103.5,1,10,0,-103.5,0.0,0.0,0.0,1,10,4.0,8.0,43,10.0,-103.5,0.0,0.0,0.22727272727272727,1.0
5,27.05,5,11,0,27.05,0.0,0.0,0.0,1,11,34.0,12.333333333333334,78,11.549999999999999,5.41,0.0,0.0,0.13924050632911392,5.0
19,142.31,19,12,0,142.31,0.0,0.0,0.0,1,12,118.0,27.428571428571427,196,22.44666666666667,7.49,0.0,0.0,0.06091370558375635,19.0
15,-328.54,1,13,0,-328.54,0.0,0.0,0.0,1,13,1.0,24.125,198,-4.552307692307693,-21.90266666666667,0.0,0.0,0.06532663316582915,15.0
1,-1.0,1,14,0,-1.0,0.0,0.0,0.0,1,14,95.0,32.0,294,-4.298571428571429,-1.0,0.0,0.0,0.04745762711864407,1.0
1,-4.5,1,15,0,-4.5,0.0,0.0,0.0,1,15,0.0,32.0,294,-4.312,-4.5,0.0,0.0,0.05084745762711865,1.0
74215,77183.6,1,16,0,77183.6,0.0,0.0,0.0,1,16,105.0,39.3,400,4819.932500000001,1.04,0.0,0.0,0.0399002493765586,74215.0
74215,-77183.6,1,17,0,-77183.6,0.0,0.0,0.0,1,17,0.0,39.3,400,-3.8047058823525304,-1.04,0.0,0.0,0.04239401496259352,74215.0
509,611.53,40,1,0,611.53,0.0,0.0,0.0,1,1,0.0,0.0,0,611.53,1.201434184675835,0.0,0.0,1.0,509.0
638,1423.58,31,2,0,1423.58,0.0,0.0,0.0,1,2,37.0,37.0,37,1017.555,2.2313166144200625,0.0,0.0,0.05263157894736842,638.0
315,475.39,29,3,0,475.39,0.0,0.0,0.0,1,3,49.0,43.0,87,836.8333333333334,1.5091746031746032,0.0,0.0,0.03409090909090909,315.0
