User ID,Suggested Item,Reaction
14242,CUBIC MUG FLOCK PINK ON BROWN,not interested
13769,CROCHET ROSE PURSE WITH SUEDE BACK,not interested
17518,VINTAGE BILLBOARD DRINK ME MUG,no action
13571,WHITE TISSUE REAM,no action
12937,BLUE WHITE PLASTIC RINGS LAMPSHADE,no action
13898,GREEN CHRISTMAS TREE CARD HOLDER,no action
16833,VINTAGE NOTEBOOK TRAVELOGUE,no action
14709,FAUX FUR CHOCOLATE THROW,not interested
12374,SILVER MUG BONE CHINA TREE OF LIFE,not interested
15833,WHITE NEWBAROQUE CANDLESTICK CANDLE,not interested
13474,RED SPOTTY EGG CUP,no action
15600,BISCUIT TIN VINTAGE RED,no action
13581,BEACH HUT SHELF W 3 DRAWERS,no action
15467,PACK OF 12 SPACEBOY TISSUES,purchased
16162,PACK OF 6 BIRDY GIFT TAGS,no action
17921,CERAMIC BIRDHOUSE FINCH BLUE ROOF,no action
14465,COLUMBIAN CANDLE RECTANGLE,purchased
15007,PARTY INVITES JAZZ HEARTS,not interested
16553,STRAWBERRY RAFFIA FOOD COVER,purchased
12712,PINK FLORAL FELTCRAFT SHOULDER BAG,purchased
16034,BLACK CHAMPAGNE GLASS,not interested
15663,CANDY SPOT TEA COSY,no action
14240,24 HANGING EASTER EGGS FLORAL TUB,not interested
16048,CAST IRON HOOK GARDEN TROWEL,no action
15749,CITRUS GARLAND FELT FLOWERS,no action
17358,GLASS JAR KINGS CHOICE,purchased
15736,BLUE 3 PIECE POLKADOT CUTLERY SET,no action
13400,SET OF 36 VINTAGE CHRISTMAS DOILIES,purchased
17235,JUMBO STORAGE BAG SKULLS,not interested
15837,VINTAGE PHOTO ALBUM PARIS DAYS,no action
17592,WASHROOM METAL SIGN,not interested
13304,SMALL REGAL  SILVER CANDLEPOT,no action
14561,EIGHT PIECE CREEPY CRAWLIE SET,not interested
16891,IVY HEART WREATH,no action
12398,LARGE WHITE HONEYCOMB PAPER BELL,not interested
15860,MAGNETS PACK OF 4 HOME SWEET HOME,no action
16781,BLUE MURANO TWIST BRACELET,no action
13749,DECORATION WOBBLY RABBIT METAL,not interested
16161,Discount,not interested
14399,HERB MARKER PARSLEY,not interested
18274,CHRISTMAS CRAFT LITTLE FRIENDS,not interested
17981,TOMATO CHARLIE+LOLA COASTER SET,purchased
12598,ASSORTED CREEPY CRAWLIES,no action
17789,SET/12 ZINC CHRISTMAS DECORATIONS,not interested
12915,GARDEN PATH SKETCHBOOK,no action
18076,4 GOLD FLOCK CHRISTMAS BALLS,no action
16813,LOVE HOT WATER BOTTLE,no action
14763,SEASIDE STRIPE HAMMOCK,no action
16476,BLACK DIAMOND CLUSTER NECKLACE,not interested
15452,FELT FARM ANIMAL WHITE BUNNY,no action
13200,ST GEORGE SET OF 10 PARTY LIGHTS,not interested
17509,UTILTY CABINET WITH HOOKS,no action
18254,GOLD FABRIC MIRROR,no action
17850,CLAM SHELL LARGE,no action
15355,SET OF 36 DOLLY GIRL PAPER DOILIES,no action
16188,BLOSSOM IMAGES GIFT WRAP SET,not interested
17987,WATERING CAN GARDEN MARKER,no action
16974,PINK POLKADOT BOWL,not interested
12702,TEA TIME DES TEA COSY,not interested
14935,FLOWER BURST SILVER RING CRYSTAL,no action
13395,WOOD FAN WITH FLOWER DESIGN,no action
13095,PAINTED BIRD ASSORTED CHRISTMAS,no action
13530,12 ASS ZINC CHRISTMAS DECORATIONS,not interested
16318,SET OF 16 VINTAGE BLACK CUTLERY,no action
17919,RED DAISY PAPER LAMPSHADE,no action
15038,UTILTY CABINET WITH HOOKS,not interested
16402,RETRO SPOT  CIGAR BOX MATCHES,no action
12749,PARTY TIME DESIGN FLANNEL,no action
17756,HERB MARKER ROSEMARY,no action
14238,COLUMBIAN CANDLE ROUND,no action
16820,FELTCRAFT CUSHION OWL,no action
16731,S/2 ZINC HEART DESIGN PLANTERS,no action
14237,S/15 SILVER GLASS BAUBLES IN BAG,no action
15337,"FRENCH BLUE METAL DOOR SIGN, 9",no action
16130,MEDIUM PARLOUR PICTURE FRAME,no action
13165,GREEN FERN NOTEBOOK,no action
14336,IVORY FELT EASTER RABBIT GARLAND,no action
17268,ICE CREAM SUNDAE LIP GLOSS,no action
13687,"FELTCRAFT HAIRBAND, S/2, RED/BLUE",no action
17747,PINK BLUE FELT CRAFT TRINKET BOX,no action
15055,12 EGG HOUSE PAINTED WOOD,no action
13780,PINK 3 PIECE POLKADOT CUTLERY SET,no action
17989,BLUE  SPOTTY PUDDING BOWL,purchased
14095,GREEN BITTY LIGHT CHAIN,no action
14579,HEART SHAPED HOLLY WREATH,no action
